WL	SiCnofilter	SiB1nofilter	SiDnofilter	SiEfilterno
813	5721463.942	5704834.805	5666131.414	5475234.398
814	5726403.548	5712598.273	5671051.119	5485149.615
815	5733574.392	5720041.951	5677643.988	5499243.346
816	5741330.913	5728554.108	5685168.273	5514169.361
817	5759849.554	5748452.396	5703483.43	5524074.998
818	5765899.756	5756149.277	5710599.651	5540428.58
819	5784000.864	5776062.066	5728711.769	5549733.75
820	5789558.333	5781859.649	5733833.03	5560541.377
821	5797612.577	5791762.623	5741919.084	5566848.55
822	5804648.105	5799533.298	5749150.276	5576988.394
823	5822284.826	5818456.633	5766242.651	5590783.73
824	5824897.639	5822771.691	5770219.059	5603050.444
825	5835032.883	5834322.763	5779855.932	5613641.4
826	5853554.961	5854613.166	5798135.249	5629315.778
827	5861652.239	5863380.085	5805848.568	5639667.011
